SeniorCitizen,Partner,Dependents,tenure,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Contract_one year,Contract_two year,InternetService_fiber optic,InternetService_no,PaymentMethod_credit card (automatic),PaymentMethod_electronic check,PaymentMethod_mailed check
0,1,0,-0.37918445574954746,0,0,1,1,0,0,0,-0.3591360639406499,-0.46650494230684364,False,False,False,False,False,True,False
0,0,1,-1.2365482838135333,0,0,0,0,0,1,1,-0.3241219812473242,-0.9585603787146098,False,False,False,False,False,True,False
0,0,0,0.31487197649272686,0,1,0,1,0,0,0,-0.9677141678960741,-0.3951659678577529,True,False,False,False,True,False,False
1,1,0,-1.2365482838135333,0,0,1,0,0,0,0,0.4728652343436151,-0.9301751158721454,False,False,True,False,False,True,False
0,0,0,-1.2365482838135333,0,0,0,0,0,1,1,0.6996231032146772,-0.9334469374458875,False,False,True,False,False,True,False
0,0,0,0.5598330702252943,0,0,0,0,1,1,0,1.034757894707938,0.9385876752976674,False,False,True,False,False,False,False
0,0,0,0.39652567440358266,1,1,1,1,0,1,1,-0.34246269122954237,0.031740426808001855,True,False,False,False,False,True,False
0,0,0,-1.1957214348581053,0,0,0,0,0,0,1,-1.484588721940407,-0.9725761549156398,False,False,False,True,False,True,False
0,1,1,1.458023747244708,1,1,1,1,1,1,1,1.6566746968322486,2.4641186978599245,False,True,True,False,False,False,False
0,1,0,0.5598330702252943,1,1,0,0,1,0,0,-0.6492527491139207,-0.09484369705177288,False,False,False,False,False,True,False
0,1,1,-1.1548945859026776,0,0,0,0,0,1,0,0.5278873642902696,-0.8727413831114582,False,False,True,False,False,True,False
0,0,0,-0.6649723984375427,0,1,1,0,0,1,1,0.212760620050338,-0.4706831468841223,False,False,False,False,False,False,False
0,0,0,1.2130626535121407,0,1,1,1,1,1,1,0.5128813288502733,1.1957572723742933,False,False,False,False,False,False,False
0,0,0,-1.2773751327689613,0,0,0,0,0,1,1,0.5262200270191589,-0.9708739234211927,False,False,True,False,False,True,False
0,0,0,-0.7057992473929706,0,1,0,1,0,1,0,1.0230865338101631,-0.3650121528132659,False,False,True,False,False,True,False
0,1,1,-0.583318700526687,0,0,1,0,0,1,0,-0.25242647858956174,-0.568506190558503,False,False,False,False,False,True,False
0,0,0,-1.2773751327689613,0,0,0,0,0,0,0,-0.6625914472828067,-0.9866361449217201,False,False,False,False,False,True,False
1,0,0,-1.1548945859026776,0,0,0,0,0,1,1,0.652937659623576,-0.8473847659149577,False,False,True,False,False,True,False
0,0,0,-0.5016650026158311,0,0,0,0,1,0,1,0.6746130441480159,-0.23971022929995747,False,False,True,False,False,True,False
0,0,1,0.6006599191807221,0,0,0,0,0,0,0,-1.4829213846692963,-0.558690725837277,True,False,False,True,True,False,False
0,0,0,-1.2773751327689613,0,0,0,0,0,1,1,0.6662763577924622,-0.969016943609069,False,False,True,False,False,True,False
0,0,0,0.11073773171558736,0,0,0,0,0,0,0,0.344480264468087,0.15889933013343424,False,False,True,False,True,False,False
0,0,1,-0.29753075783869165,0,1,0,1,0,0,1,-0.34246269122954237,-0.44669715764418944,True,False,False,False,True,False,False
0,0,0,-0.6241455494821149,0,0,0,0,0,0,0,-1.3411977166248825,-0.7964725693992292,False,False,False,True,False,False,True
0,0,0,-1.2773751327689613,0,0,0,0,0,0,0,-1.4945927455670716,-0.9976674892818368,False,False,False,True,False,False,False
1,1,0,-0.7874529453038265,0,0,0,0,0,0,1,0.1710771882725692,-0.6012686201009735,False,False,True,False,False,True,False
0,1,0,-0.7874529453038265,1,1,0,1,1,0,1,0.37282499807697006,-0.5726622882332563,False,False,False,False,False,True,False
0,0,0,-1.2365482838135333,0,0,0,0,0,0,1,-0.6142386664205948,-0.9677347432626024,False,False,False,False,False,False,False
0,1,1,1.5805042941109917,1,1,1,0,1,1,1,1.3215399053389876,2.215880289403513,True,False,True,False,False,False,False
0,0,0,1.5805042941109917,1,1,1,1,1,0,0,0.41117375531251704,1.4473117162094977,False,True,False,False,True,False,False
0,1,0,0.8456210129132895,0,1,1,1,1,1,1,1.5599691351078249,1.5621128610232962,True,False,True,False,False,False,False
0,1,0,1.3763700493338522,1,1,1,1,1,1,0,1.6933561167966849,2.504928039921598,True,False,True,False,False,False,False
0,1,1,-0.9507603411255381,0,0,0,1,0,0,1,0.36115363717919446,-0.7203142901996266,False,False,True,False,False,True,False
1,0,0,-0.8691066432146822,0,0,0,0,1,1,1,1.004745823827945,-0.5654996518150643,False,False,True,False,False,False,False
0,1,0,0.6006599191807221,0,0,0,0,0,0,0,-1.3211896693715535,-0.502915010765986,False,False,False,True,False,True,False
1,0,0,-1.2773751327689613,0,0,0,0,0,0,1,0.35781896263697316,-0.9731067205762465,False,False,True,False,False,True,False
0,1,1,-0.991587190080966,0,0,0,0,0,0,0,-1.3545364147937684,-0.916424622501419,True,False,False,True,False,False,True
0,1,0,1.2538895024675685,0,1,1,0,1,1,1,1.4165781297923004,2.0325477467613347,True,False,True,False,False,True,False
0,1,1,1.458023747244708,0,1,1,1,1,1,0,1.358221325303424,2.2309571969257567,True,False,True,False,True,False,False
0,0,0,-0.583318700526687,0,0,0,0,0,0,0,-1.4979274201092931,-0.8289255023063458,True,False,False,True,False,False,True
0,1,0,-0.6241455494821149,0,0,1,1,1,1,0,-0.3474647030428746,-0.5932880282893461,True,False,False,False,False,True,False
0,1,1,0.6006599191807221,0,1,0,0,1,1,1,1.1448021546012477,1.0931812446569766,False,False,True,False,False,True,False
0,1,0,-0.542491851571259,0,1,0,0,0,1,1,-0.1740616268473566,-0.5066068634877084,False,False,False,False,False,False,True
0,1,1,-0.583318700526687,0,0,1,1,0,0,1,-0.3541340521273177,-0.5834283497630696,True,False,False,False,True,False,False
0,0,0,-0.13422336201698004,0,0,0,0,0,0,1,-1.5079314437359577,-0.7536072854027039,True,False,False,True,False,False,True
0,0,0,-0.2567039088832637,0,0,1,1,0,0,1,0.6429336359969116,0.002183498131697495,False,False,True,False,False,False,True
0,1,1,-0.7057992473929706,1,0,0,0,0,0,0,0.3361435781125332,-0.49745460584224094,False,False,True,False,False,False,True
